Iteration,run-time(ms)
0,49
1,43
2,30
3,30
4,30
5,30
6,30
7,30
8,30
9,30
10,30
11,30
12,30
13,31
14,30
15,30
16,30
17,30
18,29
19,29
20,35
21,47
22,55
23,31
24,30
25,30
26,30
27,30
28,30
29,30
30,30
31,30
32,30
33,30
34,29
35,30
36,30
37,55
38,31
39,30
40,30
41,30
42,30
43,30
44,30
45,30
46,30
47,30
48,51
49,43
50,30
51,30
52,30
53,56
54,31
55,30
56,30
57,30
58,30
59,30
60,30
61,30
62,30
63,30
64,30
65,30
66,29
67,29
68,28
69,29
70,28
71,28
72,29
73,29
74,28
75,73
76,33
77,28
78,28
79,29
80,29
81,28
82,28
83,28
84,28
85,28
86,29
87,28
88,29
89,29
90,29
91,29
92,29
93,29
94,28
95,38
96,51
97,62
98,55
99,56
100,30
101,29
102,29
103,29
104,29
105,28
106,29
107,28
108,41
109,42
110,30
111,30
112,30
113,30
114,30
115,55
116,30
117,55
118,29
119,28
120,28
121,28
122,29
123,51
124,33
125,30
126,30
127,47
128,30
129,30
130,30
131,30
132,30
133,30
134,53
135,33
136,30
137,30
138,30
139,30
140,29
141,30
142,30
143,30
144,30
145,29
146,30
147,29
148,30
149,30
150,30
151,30
152,29
153,29
154,29
155,29
156,28
157,28
158,29
159,29
160,28
161,29
162,28
163,28
164,28
165,28
166,29
167,28
168,28
169,28
170,28
171,29
172,28
173,29
174,28
175,29
176,28
177,29
178,28
179,28
180,28
181,29
182,28
183,28
184,28
185,28
186,28
187,28
188,28
189,28
190,28
191,28
192,28
193,28
194,28
195,28
196,28
197,28
198,28
199,28
200,28
201,28
202,28
203,51
204,28
205,28
206,28
207,28
208,28
209,61
210,31
211,30
212,30
213,30
214,30
215,30
216,30
217,30
218,30
219,30
220,30
221,30
222,30
223,30
224,30
225,30
226,29
227,29
228,29
229,29
230,28
231,28
232,29
233,28
234,29
235,28
236,28
237,28
238,28
239,29
240,28
241,28
242,28
243,32
244,56
245,30
246,30
247,30
248,30
249,29
250,29
251,55
252,30
253,30
254,30
255,30
