Iteration,run-time(ms)
0,512
1,497
2,491
3,517
4,583
5,569
6,568
7,543
8,675
9,565
10,687
11,546
12,579
13,631
14,571
15,567
16,523
17,608
18,507
19,513
20,529
21,607
22,651
23,569
24,575
25,569
26,646
27,618
28,600
29,534
30,592
31,598
32,507
33,534
34,500
35,611
36,653
37,537
38,582
39,507
40,557
41,588
42,562
43,580
44,578
45,533
46,566
47,554
48,500
49,581
50,554
51,565
52,534
53,569
54,534
55,567
56,562
57,531
58,602
59,599
60,508
61,564
62,564
63,538
64,505
65,490
66,522
67,525
68,490
69,492
70,490
71,490
72,521
73,557
74,490
75,490
76,519
77,553
78,554
79,558
80,494
81,544
82,535
83,538
84,575
85,502
86,490
87,490
88,527
89,521
90,490
91,499
92,514
93,490
94,578
95,596
96,502
97,523
98,569
99,552
100,579
101,527
102,542
103,621
104,534
105,564
106,504
107,533
108,561
109,550
110,615
111,574
112,706
113,566
114,581
115,752
116,555
117,617
118,660
119,623
120,726
121,620
122,668
123,553
124,715
125,645
126,558
127,585
128,622
129,580
130,584
131,582
132,578
133,512
134,528
135,496
136,575
137,569
138,709
139,629
140,558
141,543
142,594
143,708
144,539
145,613
146,615
147,507
148,491
149,624
150,565
151,506
152,492
153,557
154,597
155,634
156,623
157,559
158,596
159,515
160,522
161,535
162,530
163,534
164,492
165,538
166,559
167,535
168,643
169,560
170,550
171,544
172,536
173,536
174,583
175,498
176,592
177,592
178,587
179,555
180,495
181,500
182,490
183,634
184,600
185,554
186,662
187,644
188,626
189,574
190,602
191,585
192,597
193,591
194,525
195,513
196,534
197,592
198,530
199,498
200,566
201,504
202,549
203,554
204,532
205,539
206,631
207,605
208,558
209,581
210,532
211,610
212,507
213,553
214,521
215,491
216,492
217,547
218,581
219,619
220,538
221,548
222,545
223,504
224,571
225,530
226,550
227,543
228,537
229,610
230,614
231,558
232,566
233,526
234,571
235,516
236,559
237,518
238,528
239,491
240,559
241,573
242,570
243,540
244,592
245,534
246,504
247,578
248,567
249,546
250,498
251,491
252,491
253,491
254,492
255,491
