Iteration,run-time(ms)
0,30
1,30
2,45
3,30
4,30
5,30
6,30
7,45
8,30
9,30
10,30
11,29
12,29
13,30
14,30
15,30
16,30
17,30
18,30
19,30
20,29
21,29
22,29
23,29
24,28
25,28
26,28
27,28
28,28
29,28
30,28
31,28
32,28
33,29
34,29
35,28
36,29
37,29
38,29
39,29
40,29
41,28
42,29
43,29
44,29
45,28
46,29
47,29
48,28
49,29
50,28
51,53
52,30
53,30
54,30
55,30
56,30
57,30
58,30
59,30
60,30
61,30
62,30
63,30
64,30
65,30
66,30
67,30
68,29
69,30
70,29
71,28
72,29
73,57
74,30
75,55
76,30
77,30
78,30
79,30
80,35
81,30
82,30
83,30
84,30
85,30
86,30
87,50
88,49
89,32
90,30
91,30
92,30
93,30
94,30
95,30
96,30
97,30
98,30
99,30
100,30
101,49
102,62
103,31
104,30
105,30
106,30
107,30
108,30
109,30
110,30
111,30
112,30
113,30
114,30
115,30
116,30
117,30
118,29
119,29
120,29
121,29
122,29
123,28
124,29
125,29
126,28
127,28
128,28
129,29
130,28
131,28
132,28
133,29
134,28
135,29
136,28
137,28
138,28
139,37
140,28
141,28
142,28
143,28
144,28
145,28
146,28
147,28
148,29
149,28
150,28
151,28
152,28
153,29
154,29
155,28
156,29
157,28
158,29
159,29
160,50
161,34
162,30
163,30
164,30
165,30
166,30
167,30
168,30
169,29
170,30
171,29
172,30
173,49
174,52
175,41
176,29
177,29
178,28
179,28
180,28
181,28
182,28
183,29
184,28
185,43
186,35
187,30
188,30
189,30
190,30
191,30
192,30
193,30
194,30
195,30
196,30
197,30
198,30
199,53
200,30
201,29
202,29
203,29
204,29
205,28
206,28
207,29
208,29
209,29
210,28
211,29
212,29
213,29
214,29
215,28
216,29
217,28
218,28
219,28
220,28
221,29
222,28
223,29
224,28
225,28
226,29
227,28
228,29
229,28
230,28
231,29
232,29
233,29
234,28
235,29
236,29
237,28
238,28
239,29
240,28
241,28
242,29
243,29
244,28
245,28
246,29
247,29
248,29
249,29
250,29
251,29
252,28
253,29
254,28
255,29
