Iteration,run-time(ms)
0,547
1,480
2,571
3,577
4,603
5,503
6,530
7,510
8,469
9,499
10,540
11,460
12,479
13,460
14,531
15,461
16,525
17,561
18,594
19,561
20,507
21,463
22,461
23,461
24,489
25,561
26,553
27,532
28,562
29,477
30,541
31,513
32,513
33,531
34,586
35,544
36,553
37,505
38,513
39,512
40,501
41,529
42,575
43,527
44,601
45,615
46,478
47,502
48,520
49,546
50,557
51,525
52,539
53,537
54,562
55,616
56,528
57,591
58,522
59,542
60,543
61,563
62,630
63,512
64,493
65,477
66,553
67,538
68,570
69,543
70,534
71,546
72,634
73,594
74,542
75,506
76,571
77,561
78,533
79,466
80,528
81,527
82,505
83,502
84,539
85,537
86,504
87,497
88,531
89,513
90,559
91,547
92,633
93,557
94,559
95,578
96,528
97,551
98,577
99,512
100,503
101,601
102,536
103,541
104,613
105,565
106,575
107,604
108,524
109,599
110,629
111,531
112,562
113,549
114,538
115,479
116,511
117,517
118,532
119,528
120,502
121,502
122,535
123,529
124,547
125,582
126,523
127,552
128,528
129,546
130,513
131,537
132,609
133,555
134,547
135,627
136,599
137,512
138,552
139,487
140,531
141,534
142,567
143,589
144,529
145,521
146,514
147,560
148,486
149,558
150,493
151,530
152,505
153,534
154,533
155,541
156,561
157,512
158,488
159,627
160,503
161,495
162,502
163,553
164,613
165,541
166,567
167,478
168,503
169,509
170,596
171,565
172,551
173,543
174,507
175,496
176,596
177,552
178,607
179,543
180,579
181,553
182,533
183,529
184,530
185,520
186,574
187,501
188,498
189,580
190,530
191,548
192,548
193,549
194,527
195,527
196,611
197,529
198,601
199,536
200,515
201,529
202,508
203,542
204,536
205,567
206,580
207,573
208,530
209,560
210,547
211,615
212,532
213,511
214,533
215,523
216,550
217,606
218,549
219,527
220,580
221,531
222,578
223,503
224,527
225,508
226,563
227,537
228,588
229,552
230,491
231,585
232,560
233,633
234,606
235,547
236,596
237,597
238,576
239,562
240,633
241,628
242,537
243,596
244,477
245,622
246,525
247,587
248,554
249,667
250,586
251,521
252,572
253,587
254,542
255,550
