Iteration,run-time(ms)
0,1080
1,1322
2,1138
3,1208
4,1143
5,1231
6,1180
7,1274
8,1287
9,1161
10,1200
11,1145
12,1260
13,1236
14,1125
15,1168
16,1235
17,1254
18,1186
19,1296
20,1217
21,1233
22,1214
23,1394
24,1380
25,1255
26,1164
27,1067
28,1318
29,1087
30,1236
31,991
32,1011
33,1128
34,1134
35,1115
36,1088
37,1110
38,1255
39,1094
40,1128
41,1178
42,1121
43,1175
44,1190
45,1048
46,1206
47,1080
48,1285
49,1250
50,1163
51,1154
52,1101
53,1223
54,1193
55,1223
56,1229
57,1173
58,1196
59,1247
60,1217
61,1152
62,1217
63,1362
64,1317
65,1365
66,1194
67,1219
68,1107
69,1203
70,1043
71,1026
72,1058
73,1189
74,1200
75,1138
76,1165
77,1135
78,1140
79,1129
80,1126
81,1161
82,1053
83,1237
84,1100
85,1196
86,1299
87,1066
88,1100
89,1066
90,1130
91,1101
92,1328
93,1173
94,1349
95,1256
96,1156
97,1226
98,1354
99,1082
100,1122
101,1088
102,1186
103,1093
104,1117
105,1143
106,1049
107,1063
108,1106
109,1072
110,1085
111,1039
112,1207
113,1202
114,1130
115,1218
116,1122
117,1117
118,1230
119,1224
120,1246
121,1163
122,1129
123,1116
124,1246
125,1068
126,1275
127,1097
128,1187
129,1263
130,1253
131,1217
132,1165
133,1292
134,1150
135,1179
136,1340
137,1246
138,1179
139,1178
140,1074
141,1074
142,1149
143,1111
144,1121
145,1059
146,1157
147,1029
148,1136
149,1063
150,1134
151,1033
152,979
153,1154
154,1209
155,1115
156,1149
157,1187
158,1100
159,1180
160,1252
161,1225
162,1128
163,1202
164,1093
165,1002
166,1189
167,1039
168,1102
169,1072
170,1151
171,1154
172,1186
173,1048
174,1137
175,981
176,1051
177,1098
178,1319
179,1068
180,1105
181,1047
182,1145
183,1113
184,989
185,1076
186,1068
187,1192
188,1138
189,1127
190,1152
191,1001
192,1028
193,1047
194,1184
195,1035
196,1062
197,1194
198,1117
199,1042
200,1069
201,1135
202,985
203,983
204,1089
205,1115
206,1061
207,1072
208,1091
209,1032
210,1112
211,981
212,1205
213,1114
214,1112
215,1205
216,1240
217,1172
218,1254
219,1127
220,1074
221,1185
222,1067
223,1066
224,1084
225,1066
226,983
227,1120
228,1068
229,1274
230,1125
231,1096
232,1097
233,1177
234,1079
235,1002
236,1013
237,1184
238,1187
239,1077
240,1008
241,1018
242,1284
243,1086
244,978
245,1036
246,1118
247,1107
248,1059
249,1025
250,1110
251,1090
252,1071
253,1108
254,1104
255,1079
