Iteration,run-time(ms)
0,541
1,560
2,570
3,469
4,594
5,481
6,497
7,543
8,490
9,505
10,611
11,635
12,562
13,537
14,471
15,510
16,508
17,561
18,598
19,582
20,576
21,477
22,590
23,492
24,613
25,492
26,613
27,633
28,560
29,629
30,628
31,582
32,573
33,600
34,539
35,503
36,500
37,563
38,554
39,570
40,539
41,558
42,581
43,557
44,532
45,574
46,529
47,620
48,561
49,539
50,511
51,521
52,541
53,507
54,507
55,529
56,528
57,596
58,678
59,552
60,569
61,558
62,540
63,630
64,666
65,546
66,666
67,522
68,469
69,517
70,562
71,572
72,579
73,571
74,563
75,610
76,585
77,655
78,593
79,584
80,522
81,555
82,633
83,607
84,563
85,540
86,560
87,595
88,556
89,574
90,541
91,530
92,574
93,636
94,584
95,582
96,625
97,505
98,610
99,597
100,538
101,578
102,575
103,541
104,582
105,604
106,619
107,527
108,652
109,560
110,582
111,527
112,553
113,633
114,490
115,574
116,526
117,623
118,577
119,560
120,588
121,478
122,576
123,583
124,572
125,558
126,740
127,654
128,508
129,634
130,591
131,522
132,495
133,693
134,695
135,533
136,557
137,539
138,503
139,465
140,520
141,570
142,487
143,540
144,525
145,533
146,511
147,521
148,535
149,610
150,526
151,559
152,512
153,566
154,596
155,538
156,528
157,503
158,548
159,502
160,570
161,631
162,514
163,544
164,590
165,552
166,563
167,531
168,536
169,561
170,590
171,573
172,558
173,531
174,609
175,603
176,554
177,560
178,575
179,491
180,637
181,545
182,565
183,615
184,513
185,491
186,536
187,628
188,525
189,510
190,623
191,548
192,518
193,502
194,581
195,490
196,550
197,708
198,556
199,606
200,503
201,589
202,534
203,633
204,581
205,546
206,603
207,515
208,576
209,626
210,501
211,603
212,564
213,566
214,567
215,598
216,580
217,589
218,595
219,547
220,605
221,635
222,635
223,614
224,600
225,654
226,530
227,536
228,505
229,522
230,555
231,510
232,555
233,486
234,549
235,482
236,601
237,529
238,530
239,564
240,580
241,645
242,552
243,581
244,635
245,657
246,585
247,567
248,627
249,481
250,499
251,527
252,596
253,476
254,565
255,508
