Iteration,run-time(ms)
0,768
1,747
2,752
3,667
4,646
5,680
6,662
7,696
8,648
9,716
10,699
11,708
12,695
13,745
14,752
15,742
16,672
17,758
18,778
19,760
20,698
21,722
22,689
23,687
24,757
25,763
26,770
27,646
28,744
29,732
30,669
31,736
32,737
33,656
34,646
35,647
36,691
37,712
38,650
39,696
40,657
41,648
42,903
43,870
44,763
45,780
46,667
47,646
48,673
49,646
50,737
51,652
52,733
53,714
54,721
55,706
56,779
57,683
58,761
59,767
60,665
61,690
62,704
63,684
64,778
65,714
66,704
67,796
68,655
69,678
70,782
71,686
72,741
73,878
74,737
75,766
76,660
77,646
78,751
79,867
80,907
81,799
82,939
83,920
84,775
85,733
86,818
87,754
88,794
89,734
90,800
91,770
92,742
93,773
94,675
95,706
96,748
97,686
98,685
99,648
100,689
101,658
102,705
103,737
104,712
105,719
106,799
107,786
108,729
109,758
110,787
111,856
112,924
113,746
114,726
115,712
116,669
117,775
118,766
119,797
120,745
121,848
122,805
123,691
124,731
125,780
126,726
127,694
128,731
129,735
130,853
131,648
132,808
133,780
134,666
135,646
136,735
137,660
138,691
139,791
140,727
141,657
142,647
143,759
144,838
145,790
146,720
147,726
148,669
149,652
150,727
151,791
152,832
153,731
154,886
155,835
156,765
157,773
158,711
159,765
160,732
161,652
162,691
163,778
164,680
165,803
166,766
167,740
168,647
169,686
170,758
171,715
172,648
173,689
174,647
175,646
176,765
177,697
178,652
179,699
180,722
181,737
182,812
183,735
184,749
185,769
186,888
187,717
188,757
189,783
190,778
191,747
192,742
193,664
194,651
195,755
196,815
197,784
198,732
199,680
200,668
201,680
202,803
203,875
204,834
205,855
206,830
207,860
208,852
209,852
210,813
211,771
212,760
213,732
214,761
215,741
216,742
217,752
218,704
219,745
220,758
221,700
222,778
223,759
224,752
225,769
226,758
227,706
228,792
229,683
230,840
231,770
232,711
233,889
234,853
235,701
236,702
237,689
238,732
239,728
240,693
241,733
242,652
243,714
244,698
245,652
246,685
247,712
248,847
249,732
250,718
251,818
252,672
253,737
254,717
255,755
