Iteration,run-time(ms)
0,4791
1,4732
2,4873
3,5235
4,4849
5,5189
6,5508
7,5164
8,4847
9,4660
10,5249
11,5035
12,4883
13,5389
14,4931
15,5137
16,5151
17,5060
18,4964
19,5050
20,5172
21,5015
22,5225
23,5047
24,5240
25,4770
26,4811
27,4678
28,4902
29,5298
30,4716
31,4936
32,4873
33,4831
34,5308
35,4705
36,5104
37,5141
38,5270
39,5282
40,5030
41,5500
42,5489
43,5068
44,4968
45,4871
46,4843
47,4855
48,4984
49,4563
50,5072
51,4805
52,4780
53,4906
54,5088
55,5222
56,5001
57,5070
58,4801
59,4583
60,5272
61,4625
62,4838
63,4782
64,4977
65,5202
66,4683
67,5237
68,5104
69,5060
70,4864
71,4727
72,4930
73,5128
74,5001
75,5038
76,5020
77,4963
78,4895
79,4728
80,4871
81,4948
82,4904
83,4886
84,4951
85,4781
86,4651
87,5219
88,4748
89,4720
90,4821
91,4781
92,5054
93,4861
94,5019
95,4969
96,4589
97,4692
98,4714
99,4683
100,4749
101,5012
102,5244
103,5063
104,4687
105,4772
106,5009
107,4923
108,4527
109,4442
110,4816
111,4584
112,4751
113,4519
114,4569
115,4607
116,4493
117,4510
118,4346
119,4401
120,4713
121,4615
122,4426
123,4789
124,4486
125,4504
126,4528
127,4605
128,4438
129,4258
130,4429
131,4878
132,4523
133,4742
134,4576
135,4686
136,4583
137,4763
138,4655
139,4497
140,4467
141,4604
142,4509
143,4265
144,4362
145,4588
146,4601
147,4555
148,4406
149,4604
150,4756
151,4686
152,4264
153,4504
154,4765
155,4690
156,4653
157,4424
158,4469
159,4698
160,4459
161,4447
162,4396
163,4840
164,4725
165,4464
166,4652
167,4935
168,4620
169,4776
170,4304
171,4669
172,4364
173,4547
174,4402
175,4533
176,4499
177,4583
178,4648
179,4642
180,4704
181,4257
182,4455
183,4710
184,4655
185,4608
186,4566
187,4729
188,4548
189,4635
190,4716
191,4409
192,4401
193,4285
194,4670
195,4535
196,4341
197,4643
198,4888
199,4823
200,4333
201,4382
202,4616
203,4942
204,4599
205,4649
206,4833
207,4629
208,4394
209,4564
210,4458
211,4601
212,4797
213,4472
214,4539
215,4899
216,4643
217,4648
218,4769
219,4719
220,4761
221,4500
222,4533
223,4464
224,4324
225,4804
226,4409
227,4499
228,4578
229,5089
230,4728
231,4384
232,4617
233,4569
234,4732
235,4447
236,4514
237,4451
238,4689
239,4340
240,4516
241,4427
242,4730
243,4441
244,4390
245,4413
246,4762
247,4583
248,4468
249,4657
250,4520
251,4804
252,4445
253,4259
254,4379
255,4484
