Iteration,run-time(ms)
0,724
1,726
2,716
3,740
4,845
5,720
6,765
7,723
8,819
9,843
10,672
11,663
12,703
13,762
14,661
15,652
16,717
17,715
18,755
19,705
20,778
21,750
22,812
23,657
24,703
25,711
26,706
27,713
28,773
29,706
30,724
31,827
32,663
33,646
34,701
35,718
36,751
37,816
38,728
39,768
40,744
41,800
42,741
43,657
44,646
45,674
46,722
47,666
48,732
49,708
50,697
51,676
52,684
53,757
54,757
55,808
56,814
57,667
58,647
59,647
60,688
61,812
62,794
63,714
64,755
65,750
66,755
67,712
68,776
69,701
70,765
71,826
72,765
73,877
74,716
75,761
76,777
77,828
78,806
79,721
80,758
81,790
82,802
83,877
84,783
85,768
86,760
87,732
88,810
89,741
90,715
91,821
92,747
93,776
94,733
95,725
96,783
97,840
98,724
99,731
100,767
101,687
102,702
103,691
104,782
105,784
106,769
107,780
108,720
109,764
110,809
111,708
112,822
113,743
114,676
115,783
116,757
117,701
118,779
119,728
120,917
121,805
122,855
123,782
124,808
125,863
126,677
127,870
128,771
129,727
130,730
131,722
132,781
133,760
134,954
135,734
136,771
137,840
138,788
139,835
140,673
141,754
142,726
143,709
144,741
145,740
146,737
147,717
148,777
149,813
150,758
151,824
152,704
153,790
154,828
155,742
156,811
157,793
158,747
159,743
160,762
161,828
162,764
163,825
164,768
165,746
166,771
167,851
168,676
169,812
170,762
171,744
172,698
173,756
174,748
175,813
176,752
177,797
178,811
179,727
180,812
181,800
182,821
183,783
184,826
185,756
186,840
187,752
188,869
189,800
190,756
191,705
192,846
193,759
194,716
195,717
196,762
197,782
198,757
199,751
200,839
201,721
202,778
203,742
204,939
205,712
206,821
207,763
208,806
209,796
210,766
211,803
212,762
213,834
214,786
215,784
216,743
217,797
218,757
219,743
220,806
221,817
222,886
223,799
224,781
225,838
226,751
227,761
228,781
229,732
230,823
231,841
232,822
233,763
234,811
235,771
236,744
237,726
238,789
239,822
240,799
241,758
242,779
243,732
244,762
245,777
246,783
247,700
248,799
249,749
250,737
251,737
252,661
253,768
254,786
255,777
