Iteration,run-time(ms)
0,757
1,928
2,829
3,820
4,771
5,737
6,776
7,774
8,871
9,766
10,737
11,737
12,737
13,779
14,766
15,736
16,737
17,813
18,737
19,740
20,736
21,739
22,737
23,737
24,737
25,787
26,763
27,736
28,739
29,736
30,737
31,809
32,759
33,738
34,739
35,776
36,806
37,763
38,764
39,763
40,805
41,769
42,779
43,798
44,846
45,780
46,738
47,776
48,765
49,737
50,737
51,737
52,738
53,737
54,739
55,806
56,947
57,758
58,794
59,738
60,737
61,883
62,838
63,787
64,812
65,764
66,815
67,740
68,801
69,788
70,779
71,737
72,738
73,868
74,761
75,834
76,877
77,852
78,779
79,739
80,813
81,840
82,912
83,801
84,788
85,848
86,768
87,780
88,763
89,785
90,804
91,811
92,797
93,769
94,737
95,805
96,736
97,737
98,765
99,765
100,737
101,737
102,825
103,737
104,772
105,826
106,771
107,806
108,754
109,812
110,822
111,737
112,791
113,851
114,896
115,779
116,738
117,737
118,738
119,873
120,737
121,736
122,793
123,785
124,737
125,774
126,763
127,737
128,738
129,780
130,763
131,737
132,771
133,769
134,738
135,737
136,781
137,770
138,739
139,738
140,738
141,738
142,738
143,738
144,738
145,785
146,782
147,737
148,738
149,738
150,737
151,798
152,739
153,738
154,737
155,790
156,853
157,770
158,793
159,765
160,736
161,737
162,784
163,798
164,780
165,820
166,824
167,902
168,834
169,784
170,807
171,829
172,765
173,769
174,757
175,737
176,737
177,737
178,749
179,737
180,737
181,770
182,763
183,737
184,776
185,836
186,783
187,736
188,737
189,737
190,877
191,917
192,793
193,824
194,779
195,839
196,824
197,870
198,812
199,736
200,813
201,805
202,770
203,824
204,866
205,851
206,746
207,809
208,810
209,811
210,823
211,812
212,771
213,854
214,766
215,850
216,805
217,806
218,810
219,780
220,737
221,737
222,737
223,739
224,780
225,758
226,882
227,757
228,737
229,738
230,738
231,737
232,809
233,769
234,780
235,760
236,785
237,855
238,780
239,779
240,777
241,737
242,736
243,811
244,737
245,779
246,766
247,737
248,737
249,743
250,826
251,737
252,737
253,737
254,737
255,737
