Iteration,run-time(ms)
0,1152
1,1234
2,1245
3,1243
4,1232
5,1145
6,1167
7,1278
8,1255
9,1181
10,1136
11,1251
12,1244
13,1202
14,1345
15,1383
16,1248
17,1173
18,1295
19,1229
20,1135
21,1133
22,1134
23,1213
24,1189
25,1217
26,1256
27,1193
28,1179
29,1245
30,1387
31,1272
32,1306
33,1224
34,1153
35,1245
36,1195
37,1153
38,1197
39,1135
40,1136
41,1214
42,1183
43,1202
44,1204
45,1173
46,1136
47,1168
48,1301
49,1194
50,1155
51,1237
52,1299
53,1169
54,1263
55,1293
56,1282
57,1149
58,1134
59,1135
60,1193
61,1236
62,1261
63,1135
64,1291
65,1289
66,1396
67,1262
68,1176
69,1233
70,1228
71,1355
72,1243
73,1277
74,1292
75,1184
76,1323
77,1171
78,1357
79,1291
80,1136
81,1134
82,1182
83,1175
84,1135
85,1238
86,1251
87,1385
88,1292
89,1228
90,1229
91,1159
92,1274
93,1169
94,1175
95,1169
96,1135
97,1135
98,1297
99,1231
100,1264
101,1281
102,1190
103,1286
104,1304
105,1331
106,1177
107,1392
108,1184
109,1399
110,1352
111,1222
112,1272
113,1137
114,1231
115,1184
116,1262
117,1190
118,1216
119,1454
120,1193
121,1133
122,1205
123,1207
124,1162
125,1178
126,1160
127,1169
128,1161
129,1134
130,1204
131,1161
132,1178
133,1180
134,1238
135,1171
136,1175
137,1211
138,1333
139,1297
140,1424
141,1351
142,1236
143,1186
144,1328
145,1188
146,1201
147,1135
148,1190
149,1162
150,1179
151,1214
152,1203
153,1212
154,1303
155,1260
156,1179
157,1133
158,1295
159,1207
160,1200
161,1297
162,1345
163,1194
164,1213
165,1289
166,1317
167,1227
168,1215
169,1240
170,1278
171,1274
172,1302
173,1230
174,1252
175,1172
176,1293
177,1235
178,1188
179,1169
180,1164
181,1384
182,1311
183,1211
184,1213
185,1395
186,1202
187,1240
188,1238
189,1329
190,1195
191,1223
192,1374
193,1243
194,1296
195,1209
196,1261
197,1252
198,1187
199,1252
200,1312
201,1393
202,1260
203,1174
204,1227
205,1138
206,1182
207,1177
208,1262
209,1219
210,1262
211,1159
212,1135
213,1136
214,1138
215,1164
216,1161
217,1136
218,1183
219,1176
220,1190
221,1169
222,1238
223,1275
224,1181
225,1136
226,1161
227,1250
228,1199
229,1292
230,1191
231,1189
232,1171
233,1161
234,1162
235,1170
236,1136
237,1135
238,1135
239,1138
240,1138
241,1172
242,1191
243,1323
244,1138
245,1137
246,1188
247,1232
248,1226
249,1224
250,1220
251,1236
252,1165
253,1172
254,1197
255,1225
