Iteration,run-time(ms)
0,351
1,429
2,334
3,370
4,306
5,285
6,276
7,273
8,274
9,308
10,310
11,284
12,311
13,310
14,285
15,278
16,363
17,287
18,280
19,401
20,364
21,313
22,411
23,287
24,280
25,274
26,312
27,286
28,278
29,275
30,274
31,275
32,307
33,303
34,278
35,288
36,274
37,274
38,287
39,274
40,273
41,331
42,285
43,277
44,317
45,420
46,321
47,284
48,274
49,275
50,379
51,285
52,280
53,274
54,274
55,274
56,273
57,364
58,339
59,347
60,320
61,285
62,292
63,277
64,274
65,333
66,345
67,299
68,283
69,302
70,314
71,283
72,288
73,275
74,310
75,315
76,351
77,372
78,422
79,342
80,285
81,314
82,333
83,329
84,330
85,319
86,312
87,283
88,274
89,299
90,291
91,338
92,350
93,341
94,285
95,309
96,290
97,318
98,316
99,289
100,283
101,346
102,355
103,286
104,277
105,301
106,342
107,313
108,331
109,351
110,314
111,282
112,274
113,312
114,328
115,285
116,325
117,284
118,274
119,274
120,274
121,302
122,307
123,274
124,351
125,335
126,274
127,274
128,313
129,284
130,274
131,303
132,285
133,274
134,274
135,365
136,341
137,274
138,371
139,274
140,274
141,320
142,286
143,275
144,307
145,336
146,278
147,274
148,298
149,335
150,320
151,338
152,285
153,276
154,274
155,347
156,308
157,340
158,282
159,274
160,274
161,280
162,303
163,313
164,286
165,275
166,320
167,377
168,362
169,301
170,373
171,312
172,310
173,285
174,345
175,285
176,274
177,306
178,286
179,279
180,322
181,365
182,324
183,373
184,301
185,282
186,273
187,299
188,324
189,286
190,341
191,310
192,274
193,290
194,278
195,274
196,274
197,343
198,319
199,316
200,313
201,285
202,307
203,306
204,310
205,304
206,284
207,372
208,310
209,335
210,285
211,304
212,308
213,454
214,376
215,322
216,353
217,394
218,309
219,396
220,317
221,317
222,314
223,283
224,309
225,318
226,285
227,278
228,330
229,286
230,340
231,376
232,289
233,281
234,316
235,285
236,306
237,291
238,303
239,302
240,282
241,367
242,274
243,274
244,274
245,274
246,274
247,313
248,303
249,274
250,274
251,274
252,274
253,274
254,274
255,333
