Iteration,run-time(ms)
0,1251
1,1218
2,1219
3,1221
4,1220
5,1223
6,1218
7,1222
8,1219
9,1218
10,1219
11,1221
12,1219
13,1218
14,1304
15,1252
16,1218
17,1219
18,1218
19,1247
20,1288
21,1293
22,1219
23,1315
24,1219
25,1219
26,1219
27,1221
28,1261
29,1257
30,1321
31,1228
32,1216
33,1215
34,1215
35,1216
36,1239
37,1218
38,1218
39,1218
40,1221
41,1273
42,1256
43,1235
44,1354
45,1217
46,1302
47,1219
48,1382
49,1390
50,1378
51,1531
52,1317
53,1227
54,1347
55,1453
56,1354
57,1495
58,1243
59,1441
60,1344
61,1433
62,1339
63,1246
64,1477
65,1448
66,1610
67,1436
68,1289
69,1448
70,1511
71,1460
72,1486
73,1275
74,1519
75,1537
76,1344
77,1474
78,1427
79,1393
80,1477
81,1420
82,1231
83,1296
84,1334
85,1440
86,1329
87,1340
88,1246
89,1243
90,1290
91,1244
92,1222
93,1220
94,1306
95,1249
96,1366
97,1216
98,1215
99,1259
100,1332
101,1215
102,1311
103,1278
104,1319
105,1293
106,1259
107,1217
108,1220
109,1218
110,1219
111,1240
112,1275
113,1220
114,1218
115,1218
116,1330
117,1311
118,1310
119,1263
120,1221
121,1263
122,1302
123,1291
124,1218
125,1398
126,1355
127,1221
128,1219
129,1267
130,1291
131,1218
132,1217
133,1299
134,1236
135,1213
136,1285
137,1237
138,1236
139,1250
140,1217
141,1364
142,1264
143,1242
144,1358
145,1228
146,1218
147,1245
148,1340
149,1220
150,1217
151,1218
152,1363
153,1296
154,1316
155,1261
156,1269
157,1218
158,1230
159,1217
160,1217
161,1367
162,1221
163,1217
164,1268
165,1270
166,1327
167,1424
168,1353
169,1298
170,1217
171,1221
172,1219
173,1356
174,1265
175,1277
176,1221
177,1218
178,1218
179,1217
180,1216
181,1220
182,1216
183,1343
184,1323
185,1265
186,1353
187,1456
188,1336
189,1407
190,1447
191,1540
192,1571
193,1443
194,1371
195,1324
196,1469
197,1343
198,1418
199,1557
200,1500
201,1353
202,1554
203,1515
204,1342
205,1221
206,1223
207,1270
208,1414
209,1300
210,1258
211,1218
212,1285
213,1348
214,1312
215,1242
216,1310
217,1217
218,1301
219,1215
220,1227
221,1390
222,1379
223,1315
224,1270
225,1341
226,1262
227,1218
228,1442
229,1334
230,1262
231,1472
232,1481
233,1331
234,1355
235,1406
236,1466
237,1564
238,1325
239,1366
240,1438
241,1483
242,1473
243,1299
244,1386
245,1227
246,1492
247,1260
248,1387
249,1496
250,1408
251,1349
252,1296
253,1270
254,1232
255,1433
