Iteration,run-time(ms)
0,741
1,819
2,786
3,779
4,737
5,827
6,827
7,738
8,736
9,737
10,803
11,762
12,737
13,769
14,764
15,737
16,736
17,789
18,814
19,817
20,822
21,869
22,787
23,763
24,737
25,736
26,768
27,774
28,845
29,737
30,770
31,845
32,764
33,739
34,810
35,763
36,738
37,780
38,839
39,799
40,814
41,776
42,737
43,779
44,762
45,738
46,745
47,736
48,737
49,737
50,773
51,757
52,773
53,868
54,816
55,778
56,737
57,852
58,863
59,797
60,786
61,765
62,815
63,856
64,844
65,838
66,785
67,789
68,850
69,806
70,763
71,776
72,761
73,737
74,737
75,737
76,737
77,776
78,765
79,737
80,737
81,815
82,854
83,791
84,766
85,792
86,767
87,737
88,737
89,737
90,776
91,764
92,807
93,737
94,828
95,756
96,824
97,737
98,780
99,762
100,805
101,763
102,737
103,742
104,750
105,740
106,738
107,786
108,907
109,784
110,770
111,790
112,805
113,775
114,811
115,765
116,738
117,779
118,764
119,737
120,813
121,764
122,737
123,737
124,739
125,737
126,765
127,764
128,737
129,862
130,776
131,847
132,789
133,793
134,817
135,782
136,833
137,791
138,737
139,814
140,769
141,787
142,737
143,737
144,739
145,737
146,779
147,757
148,736
149,737
150,834
151,790
152,844
153,811
154,809
155,818
156,763
157,781
158,800
159,866
160,779
161,737
162,737
163,739
164,859
165,787
166,737
167,737
168,737
169,738
170,791
171,786
172,765
173,775
174,764
175,737
176,737
177,739
178,737
179,736
180,806
181,784
182,767
183,743
184,801
185,855
186,783
187,738
188,771
189,809
190,809
191,766
192,773
193,763
194,738
195,738
196,738
197,738
198,813
199,763
200,737
201,777
202,761
203,748
204,808
205,827
206,762
207,737
208,737
209,814
210,871
211,783
212,737
213,737
214,797
215,832
216,834
217,857
218,853
219,875
220,818
221,828
222,903
223,777
224,738
225,737
226,740
227,807
228,775
229,739
230,737
231,737
232,738
233,779
234,755
235,829
236,772
237,737
238,779
239,765
240,739
241,788
242,781
243,821
244,788
245,800
246,751
247,749
248,744
249,868
250,797
251,796
252,789
253,741
254,737
255,818
